date,valeur_totale,valeur_titres,liquidite
2024-03-11,12649.04,6611.63,6037.41
2024-03-12,12671.0,6633.59,6037.41
2024-03-13,12743.55,6706.14,6037.41
2024-03-14,12725.59,6688.18,6037.41
2024-03-15,12672.0,6634.59,6037.41
2024-03-18,12641.14,6603.73,6037.41
2024-03-19,12691.05,6653.64,6037.41
2024-03-20,12691.93,6636.02,6055.91
2024-03-21,12744.14,6688.23,6055.91
2024-03-22,12751.33,6695.42,6055.91
2024-03-25,12774.78,6718.87,6055.91
2024-03-26,12764.83,6708.92,6055.91
2024-03-27,12773.46,6717.55,6055.91
2024-03-28,12492.36,6436.45,6055.91
2024-04-02,12552.3,6496.39,6055.91
2024-04-03,12572.52,6516.61,6055.91
2024-04-04,12527.12,6471.21,6055.91
2024-04-05,12452.87,6396.96,6055.91
2024-04-08,12442.89,6386.98,6055.91
2024-04-09,12427.81,6371.9,6055.91
2024-04-10,12423.81,6367.9,6055.91
2024-04-11,12411.31,6355.4,6055.91
2024-04-12,12432.64,6376.73,6055.91
2024-04-15,12391.99,6336.08,6055.91
2024-04-16,12308.95,6241.14,6067.81
2024-04-17,12350.46,6282.65,6067.81
2024-04-18,12365.05,6297.24,6067.81
2024-04-19,12349.11,6281.3,6067.81
2024-04-22,12355.05,6287.24,6067.81
2024-04-23,12417.04,6349.23,6067.81
2024-04-24,12375.52,6307.71,6067.81
2024-04-25,12319.14,6251.33,6067.81
2024-04-26,12405.08,6337.27,6067.81
2024-04-29,12379.08,6311.27,6067.81
2024-04-30,12376.23,6308.42,6067.81
2024-05-02,12314.17,6246.36,6067.81
2024-05-03,12344.27,6276.46,6067.81
2024-05-06,12422.38,6354.57,6067.81
2024-05-07,12457.53,6389.72,6067.81
2024-05-08,12579.78,6449.47,6130.31
2024-05-09,12620.76,6490.45,6130.31
2024-05-10,12639.21,6508.9,6130.31
2024-05-13,12534.4,6404.09,6130.31
2024-05-14,12625.64,6495.33,6130.31
2024-05-15,12698.82,6568.51,6130.31
2024-05-16,12692.36,6562.05,6130.31
2024-05-17,12714.95,6584.64,6130.31
2024-05-20,12773.62,6630.51,6143.11
2024-05-21,12727.15,6584.04,6143.11
2024-05-22,12710.72,6567.61,6143.11
2024-05-23,12681.45,6538.34,6143.11
2024-05-24,12731.76,6588.65,6143.11
2024-05-27,12758.28,6615.17,6143.11
2024-05-28,12731.56,6588.45,6143.11
2024-05-29,12630.7,6487.59,6143.11
2024-05-30,12659.38,6516.27,6143.11
2024-05-31,12698.6,6555.49,6143.11
2024-06-03,12634.01,6490.9,6143.11
2024-06-04,12580.36,6437.25,6143.11
2024-06-05,12670.35,6527.24,6143.11
2024-06-06,12686.71,6543.6,6143.11
2024-06-07,12653.52,6510.41,6143.11
2024-06-10,12612.22,6469.11,6143.11
2024-06-11,12545.53,6402.42,6143.11
2024-06-12,12621.32,6478.21,6143.11
2024-06-13,12438.33,6295.22,6143.11
2024-06-14,12247.91,6104.8,6143.11
2024-06-17,12244.85,6101.74,6143.11
2024-06-18,12355.07,6196.9,6158.17
2024-06-19,12334.53,6156.61,6177.92
2024-06-20,12414.28,6236.36,6177.92
2024-06-21,12327.56,6149.64,6177.92
2024-06-24,12433.63,6255.71,6177.92
2024-06-25,12373.08,6195.16,6177.92
2024-06-26,12313.15,6135.23,6177.92
2024-06-27,12236.5,6058.58,6177.92
2024-06-28,12210.38,6032.46,6177.92
2024-07-01,12299.25,6121.33,6177.92
2024-07-02,12303.81,6125.89,6177.92
2024-07-03,12420.76,6242.84,6177.92
