Symbole,ISIN,Nom,Secteur,Dernier Prix,Val max,Val min,Target
AI.PA,FR0000120073,AIR LIQUIDE,Matériaux de base,182.96,216.0,176.32,215.0
AIR.PA,NL0000235190,AIRBUS,Industrie,163.62,165.0,132.0,200.0
ALO.PA,FR0010220475,ALSTOM,Industrie,20.22,26.5,20.21,26.0
ALCUR.PA,FR0013398997,ARCURE,Technologie,4.77,4.58,3.91,5.3
BNP.PA,FR0000131104,BNP PARIBAS ACT.A,Finance,77.51,90.0,69.65,95.0
BVI.PA,FR0006174348,BUREAU VERITAS,Industrie,30.38,31.29,27.39,36.0
CA.PA,FR0000120172,CARREFOUR,Consommation,13.15,14.0,12.29,15.0
GTT.PA,FR0011726835,Gaztransport & Technigaz SA,Énergie,164.5,160.0,137.6,175.0
NEOEN.PA,FR0011675362,NEOEN,Énergie,39.0,,,
NEX.PA,FR0000044448,NEXANS,Industrie,102.4,110.0,88.5,130.0
DIM.PA,FR0013154002,SARTORIUS STED BIO,Santé,194.05,201.6,187.1,229.0
SU.PA,FR0000121972,SCHNEIDER ELECTRIC,Industrie,222.25,243.0,214.5,315.0
SOI.PA,FR0013227113,SOITEC,Technologie,44.7,65.2,40.0,0.0
STMPA.PA,NL0000226223,STMICROELECTRONICS,Technologie,22.565,24.14,16.5,0.0
TTE.PA,FR0000120271,TOTALENERGIES,Énergie,51.98,60.0,49.3,68.0
VIE.PA,FR0000124141,VEOLIA ENVIRON.,Services aux collectivités,30.27,32.11,30.1,36.0
VMX.PA,FR0010291245,VERIMATRIX,Technologie,0.248,0.33,0.25,0.32
SAF.PA,FR0000073272,SAFRAN,Technologie,262.0,264.0,190.0,290.0
SAN.PA,FR0000120578,SANOFI,Santé,87.8,105.0,85.9,125.0
ALDLT.PA,FR0013283108,Delta Plus Group,Consommation de base,52.4,54.4,41.4,85.0
CAP.PA,FR0000125338,CAPGEMINI,Technologie,148.4,186.0,120.6,200.0
PUB.PA,FR0000130577,Publicis Groupe,Services de communication,96.06,105.0,79.0,130.0
RBO.PA,FR0013344173,Roche Bobois S.A.,Consommation discrétionnaire,40.0,48.0,35.0,50.0
HO.PA,FR0000121329,THALES,Technologie,267.8,275.0,225.0,290.0
TEP.PA,FR0000051807,Teleperformance SE,Industrie,89.04,107.0,85.0,140.0
AM.PA,FR0014004L86,DASSAULT AVIATION,Industrie,321.4,320.0,250.0,350.0
EL.PA,FR0000121667,EssilorLuxottica,Santé,248.9,295.0,224.0,300.0
SGO.PA,FR0000125007,SAINT-GOBAIN,Matériaux,100.4,106.0,71.92,125.0
VIRP.PA,FR0000031577,VIRBAC,Santé,327.5,328.6,281.0,355.0
AUB.PA,FR0000063737,AUBAY,Technologie,51.0,49.85,42.25,46.1
EXENS.PA,FR001400Q9V2,EXOSENS,Industrie,43.85,40.0,32.85,38.0
SCHP.PA,FR0000039109,Séché Environnement,Industrie,98.5,101.6,87.6,101.6
CS.PA,FR0000120628,AXA,Services financiers,41.84,41.84,38.7,45.0
ENGI.PA,FR0010208488,ENGIE,Services publics,19.03,18.44,17.45,18.44
FGR.PA,FR0000130452,EIFFAGE,Industrie,122.55,125.8,112.2,125.8
