date,valeur_totale,valeur_titres,liquidite
2024-03-11,12649.04,6611.63,6037.41
2024-03-12,12671.0,6633.59,6037.41
2024-03-13,12743.55,6706.14,6037.41
2024-03-14,12725.59,6688.18,6037.41
2024-03-15,12672.0,6634.59,6037.41
2024-03-18,12641.14,6603.73,6037.41
2024-03-19,12691.05,6653.64,6037.41
2024-03-20,12691.93,6636.02,6055.91
2024-03-21,12744.14,6688.23,6055.91
2024-03-22,12751.33,6695.42,6055.91
2024-03-25,12774.78,6718.87,6055.91
2024-03-26,12764.83,6708.92,6055.91
2024-03-27,12773.46,6717.55,6055.91
2024-03-28,12492.36,6436.45,6055.91
2024-04-02,12552.3,6496.39,6055.91
2024-04-03,12572.52,6516.61,6055.91
2024-04-04,12527.12,6471.21,6055.91
2024-04-05,12452.87,6396.96,6055.91
2024-04-08,12442.89,6386.98,6055.91
2024-04-09,12427.81,6371.9,6055.91
2024-04-10,12423.81,6367.9,6055.91
2024-04-11,12411.31,6355.4,6055.91
2024-04-12,12432.64,6376.73,6055.91
2024-04-15,12391.99,6336.08,6055.91
2024-04-16,12308.95,6241.14,6067.81
2024-04-17,12350.46,6282.65,6067.81
2024-04-18,12365.05,6297.24,6067.81
2024-04-19,12349.11,6281.3,6067.81
2024-04-22,12355.05,6287.24,6067.81
2024-04-23,12417.04,6349.23,6067.81
2024-04-24,12375.52,6307.71,6067.81
2024-04-25,12319.14,6251.33,6067.81
2024-04-26,12405.08,6337.27,6067.81
2024-04-29,12379.08,6311.27,6067.81
2024-04-30,12376.23,6308.42,6067.81
2024-05-02,12314.17,6246.36,6067.81
2024-05-03,12344.27,6276.46,6067.81
2024-05-06,12422.38,6354.57,6067.81
2024-05-07,12457.53,6389.72,6067.81
2024-05-08,12579.78,6449.47,6130.31
2024-05-09,12626.71,6496.4,6130.31
2024-05-10,12645.07,6514.76,6130.31
2024-05-13,12603.96,6473.65,6130.31
2024-05-14,12696.59,6566.28,6130.31
2024-05-15,12771.74,6641.43,6130.31
2024-05-16,12765.5,6635.19,6130.31
2024-05-17,12788.01,6657.7,6130.31
2024-05-20,12847.01,6703.9,6143.11
2024-05-21,12800.88,6657.77,6143.11
2024-05-22,12783.98,6640.87,6143.11
2024-05-23,12754.44,6611.33,6143.11
2024-05-24,12804.91,6661.8,6143.11
2024-05-27,12832.78,6689.67,6143.11
2024-05-28,12805.48,6662.37,6143.11
2024-05-29,12703.57,6560.46,6143.11
2024-05-30,12732.34,6589.23,6143.11
2024-05-31,12771.72,6628.61,6143.11
2024-06-03,12707.42,6564.31,6143.11
2024-06-04,12653.34,6510.23,6143.11
2024-06-05,12744.29,6601.18,6143.11
2024-06-06,12761.52,6618.41,6143.11
2024-06-07,12726.95,6583.84,6143.11
2024-06-10,12684.45,6541.34,6143.11
2024-06-11,12616.07,6472.96,6143.11
2024-06-12,12692.4,6549.29,6143.11
2024-06-13,12507.97,6364.86,6143.11
2024-06-14,12314.49,6171.38,6143.11
2024-06-17,12311.01,6167.9,6143.11
2024-06-18,12422.81,6264.64,6158.17
2024-06-19,12402.66,6224.74,6177.92
2024-06-20,12483.78,6305.86,6177.92
2024-06-21,12396.13,6218.21,6177.92
2024-06-24,12503.11,6325.19,6177.92
2024-06-25,12441.14,6263.22,6177.92
2024-06-26,12380.86,6202.94,6177.92
2024-06-27,12303.01,6125.09,6177.92
2024-06-28,12276.38,6098.46,6177.92
2024-07-01,12366.57,6188.65,6177.92
2024-07-02,12370.78,6192.86,6177.92
2024-07-03,12489.15,6311.23,6177.92
