Symbole,isin,Nom,Quantité,Prix Achat,Secteur
AI.PA,FR0000120073,AIR LIQUIDE,4,115.04,Matériaux de base
AIR.PA,NL0000235190,AIRBUS,5,91.9,Industrie
BNP.PA,FR0000131104,BNP PARIBAS ACT.A,10,64.51,Technologie
TTE.PA,FR0000120271,TOTALENERGIES,25,33.08,Énergie
VIE.PA,FR0000124141,VEOLIA ENVIRON.,50,19.98,Services aux collectivités
VMX.PA,FR0010291245,VERIMATRIX,200,2.17,Technologie
SAF.PA,FR0000073272,SAFRAN,6,251.0,Technologie
CAP.PA,FR0000125338,CAPGEMINI,5,148.07,Technologie
PUB.PA,FR0000130577,Publicis Groupe,7,91.82,Services de communication
RBO.PA,FR0013344173,Roche Bobois S.A.,10,42.2,Consommation discrétionnaire
HO.PA,FR0000121329,THALES,3,241.52,Technologie
TEP.PA,FR0000051807,Teleperformance SE,10,86.69,Industrie
AM.PA,FR0014004L86,DASSAULT AVIATION,3,282.52,Industrie
EL.PA,FR0000121667,EssilorLuxottica,3,251.14,Santé
ENGI.PA,FR0010208488,ENGIE,40,17.86,Services publics
CS.PA,FR0000120628,AXA,20,41.75,Services financiers
